name,birth,height,weight,job,salary
Lori Fitzpatrick,1986-07-23,177.9,69.5,Data scientist,130660.0
Joseph Daniels,2004-01-19,168.4,52.5,Data scientist,113432.0
Daniel Mendoza,1997-08-14,123.0,45.1,Data scientist,121594.0
Scott Thompson,2013-10-22,173.3,68.7,Data scientist,104117.0
Howard Williams,1983-01-29,183.9,75.1,Software developer,
Daniel Crawford,1970-02-06,170.2,57.8,Full stack developer,102204.0
James Rose,1996-11-07,173.9,58.9,Software developer,88853.0
Bryan Torres,1999-07-08,160.8,61.8,,94431.0
Paula Cole,2006-08-07,156.3,79.2,Full stack developer,90945.0
Tammy Miller,1978-03-23,172.7,69.0,Data scientist,158522.0
Elizabeth Hanson,1991-03-17,176.8,76.6,AI architect,144436.0
April Barnes,1975-11-05,151.5,47.1,Full stack developer,112237.0
Travis Carpenter,1978-09-21,196.9,71.9,Full stack developer,113730.0
Jennifer Hahn,2018-07-24,181.0,78.5,Blockchain developer,
Mark Hernandez,1997-07-15,171.8,77.7,Data scientist,88504.0
Jacqueline Ramirez,1982-12-10,176.1,85.8,Software developer,79747.0
Caroline Lopez,2020-09-20,136.6,36.3,,96259.0
Scott Gilbert,1995-06-20,166.7,,Project manager,125959.0
Joshua Andrade MD,1974-07-13,184.3,66.2,Software developer,111850.0
Edward Mccann,2000-02-03,180.3,84.0,Software developer,98974.0
Brian Gonzales,2014-10-30,194.7,57.0,Project manager,90571.0
Mark Cooper,1996-07-03,158.2,65.7,Blockchain developer,142209.0
Rose Barber,,179.7,67.9,Software developer,114209.0
Sean Cantrell,1997-05-07,185.7,58.4,Data scientist,153472.0
Douglas Walker,1976-04-08,160.4,63.6,,125250.0
Emily Gonzalez,1988-02-23,188.0,,Blockchain developer,119957.0
Nicole Simpson,1979-08-22,171.0,75.3,Full stack developer,102856.0
James Bailey,1973-09-05,177.3,81.4,Software developer,77812.0
Lisa Knapp,1993-02-22,170.8,52.4,Full stack developer,101289.0
David Lopez,1975-05-27,186.5,93.7,Data scientist,106170.0
Francisco Barron,1996-05-04,168.9,71.7,Full stack developer,106788.0
Jacob Martinez,2020-12-22,169.1,62.8,Project manager,95640.0
Larry Farmer,1990-01-19,193.2,101.5,Data scientist,121776.0
Kenneth Parsons,1971-11-22,193.1,69.3,AI architect,143730.0
Courtney Myers,1975-09-19,165.4,64.5,Full stack developer,89880.0
Jonathan Hernandez,2002-12-17,172.1,65.6,Data scientist,147642.0
Cheryl Mercado,1979-11-25,187.7,76.1,Software developer,82247.0
Brian Watts,2022-12-27,181.4,80.5,Data scientist,125601.0
David Dean,1999-05-13,173.1,73.1,Full stack developer,114601.0
Amanda Murray,2014-04-25,180.0,81.7,AI architect,129422.0
Thomas Chavez,1973-11-03,164.6,58.0,Data scientist,128357.0
Joanna Hood,,171.6,73.3,Full stack developer,110885.0
Matthew Williams,2001-03-13,188.0,88.1,Software developer,82592.0
Caitlin Jackson,1973-03-17,206.4,103.3,Blockchain developer,99837.0
Diana Brown,1993-10-16,170.3,62.0,Full stack developer,115128.0
Misty Taylor,1971-04-14,173.1,75.4,Data scientist,144729.0
Brett Mcgee,1971-10-11,170.7,77.6,Data scientist,129928.0
Jesse Gray,1975-06-07,,75.2,Data scientist,111675.0
Linda Bennett,1983-01-01,184.5,86.8,Software developer,100251.0
Mrs. Jennifer Sanders,1987-12-02,178.7,,Software developer,76753.0
Douglas Mcfarland,1987-02-16,179.2,80.8,AI architect,124240.0
Mary Herrera,1998-10-21,190.2,77.4,Software developer,92468.0
Angel Wells,2000-09-21,165.9,73.7,Software developer,100363.0
Edgar Williamson,1977-12-30,179.9,70.4,Data scientist,
Adam Tucker,2001-08-11,168.1,62.4,Data scientist,137072.0
Greg Pitts,2002-06-29,182.8,76.3,Blockchain developer,145023.0
Anne Vega,1987-12-08,169.6,56.6,Data scientist,171070.0
Marc Hicks,2010-08-21,151.2,51.3,Software developer,79839.0
Tammy Cummings,2005-04-25,176.7,55.4,Data scientist,124151.0
Terry Gutierrez,1985-08-03,179.5,71.7,Data scientist,117539.0
Regina Barnes,2001-04-10,177.3,85.8,Data scientist,131021.0
Sabrina Black,1996-12-23,165.9,54.5,Data scientist,172372.0
Jason Parker,2021-11-19,169.7,47.1,Data scientist,126539.0
Alexandra Bentley,1986-07-31,176.5,71.4,Software developer,81038.0
Timothy Turner,1971-10-31,181.4,60.4,Data scientist,115524.0
Cory Martin,1980-09-06,160.7,62.9,Blockchain developer,113056.0
Darren Daniel,1984-03-21,166.2,60.4,Data scientist,109343.0
Michelle Barnett,2010-02-24,165.6,54.0,Software developer,86045.0
Diana Estrada,1993-07-03,167.0,62.4,Full stack developer,95828.0
,2009-08-31,162.5,62.3,Blockchain developer,61371.0
Tristan Wong,1980-03-28,154.6,50.9,Full stack developer,107490.0
Douglas Henderson,1991-09-10,165.3,54.5,Software developer,115200.0
Lance Gilbert,1986-10-17,178.2,71.9,Software developer,111106.0
Edwin Reed,1998-12-14,169.7,61.9,Software developer,98892.0
Dustin Huber,1996-06-22,162.3,63.6,Data scientist,129773.0
Andrea Ashley,1987-09-11,205.7,84.1,Software developer,84345.0
Brian Martinez,2015-07-22,178.1,58.0,AI architect,95751.0
George Wilson,2018-02-12,168.3,69.9,Blockchain developer,130654.0
Morgan Campos,1974-07-04,170.3,69.7,Software developer,75120.0
Daniel Fisher,2003-06-19,171.8,65.0,Software developer,75692.0
Anthony Graham,2000-06-27,177.1,73.2,Full stack developer,108760.0
John Wallace,2018-09-17,175.4,59.9,Full stack developer,110513.0
Richard Prince,1999-05-07,152.7,43.5,Data scientist,110018.0
,2005-02-14,196.6,90.3,Blockchain developer,56504.0
Jennifer Drake,2019-01-05,170.5,54.6,Data scientist,116717.0
Donna Duarte,1993-02-21,178.5,,Full stack developer,87806.0
Alexis Cook,1978-10-27,184.3,76.6,Software developer,85689.0
Carrie Adams,2008-05-25,172.3,65.8,Software developer,97071.0
Maria Hughes,1976-08-20,192.8,84.6,Full stack developer,127523.0
Ryan Beck,1984-03-29,162.7,60.8,Software developer,94517.0
Katelyn Nunez,2001-04-28,199.9,75.0,,112821.0
Valerie Ramirez,1983-01-20,176.8,,Data scientist,139656.0
Charles Lambert,1985-11-29,183.7,71.4,Software developer,72104.0
John Larsen,2023-05-27,191.4,87.3,Full stack developer,99987.0
Evan Wilson,2014-06-26,195.9,93.7,Software developer,72882.0
Chad Michael,1986-04-03,171.8,54.3,Data scientist,169012.0
Amber Casey,2018-07-12,156.7,59.9,AI architect,134966.0
David Stevenson,1985-01-28,174.7,63.4,Software developer,80110.0
Holly Foster,1974-02-25,154.8,42.6,Data scientist,
Stefanie Willis,1997-10-31,180.9,,Project manager,113128.0
Morgan Bishop,1987-02-17,191.0,100.0,Data scientist,148952.0
Kimberly Anderson,2001-11-17,160.1,52.2,Software developer,77718.0
Catherine Rios,1996-04-03,189.3,84.8,Software developer,82058.0
Kathryn Gardner,2005-11-15,174.3,70.3,Full stack developer,112986.0
Thomas Molina,2012-03-19,218.4,99.7,Full stack developer,92578.0
Joshua Wilkinson,2014-02-09,166.7,66.6,Data scientist,112777.0
Sharon Taylor,1970-06-01,174.8,77.2,Software developer,97724.0
Robert Hernandez,2004-01-04,163.9,62.0,Data scientist,106534.0
Kyle Farley,1979-10-26,189.3,98.6,Software developer,79143.0
Lori Mays,2021-05-04,179.7,78.0,Full stack developer,114935.0
William Vega,2004-01-11,179.1,83.0,Blockchain developer,127238.0
Cheryl Wright,2017-07-23,186.4,81.3,Data scientist,133458.0
Nathan Morton,2020-06-14,188.7,83.7,Blockchain developer,120755.0
Robert Hunt,2018-11-11,173.7,67.5,Project manager,
Ruth Jones,1973-09-22,165.0,66.1,Data scientist,147072.0
Mr. Andrew Oconnor,2015-02-19,,77.1,Blockchain developer,116716.0
Jeremy Parker,1986-02-27,198.7,91.5,Full stack developer,109188.0
Gina Rodriguez,2008-04-03,163.4,72.8,Full stack developer,114225.0
Denise Wright,2010-09-18,182.6,73.7,AI architect,122816.0
Rebecca Berg,2008-02-10,172.4,82.3,Project manager,83044.0
Kelli Randall,2021-08-26,160.2,60.1,Full stack developer,102250.0
Dylan Patterson,2018-05-04,173.0,63.2,Software developer,93336.0
Jennifer Johnson,2007-07-02,173.1,78.5,AI architect,102422.0
Grant Franklin,2001-07-15,180.0,69.6,Full stack developer,
Erica Edwards,2014-06-19,162.7,55.7,Full stack developer,99441.0
George Moore,1987-05-24,156.6,52.9,AI architect,126169.0
Edward Chavez,2009-08-26,139.9,55.8,Software developer,81634.0
Cody Park,2000-12-19,162.9,65.7,Software developer,95252.0
Barry Porter,1990-04-17,162.7,56.1,Full stack developer,109917.0
Charlotte Reynolds,1998-12-01,197.6,66.4,,110662.0
Veronica Lopez,1972-04-30,166.2,58.0,Data scientist,121418.0
,2013-01-11,162.4,71.9,Full stack developer,114279.0
Susan Jones,2007-12-07,156.1,62.5,Data scientist,
Holly Wood,2020-01-07,132.7,40.5,AI architect,116264.0
,1989-12-27,197.5,90.5,Blockchain developer,102378.0
Diane Bowman,2006-11-25,186.5,78.0,Software developer,67159.0
Leah Larson,2020-01-27,166.3,49.0,Project manager,120235.0
Andrew Evans,2010-05-29,154.0,45.6,Data scientist,97114.0
Keith Chavez,1978-05-02,172.9,59.6,Software developer,83283.0
Jillian Preston,1972-08-23,181.8,78.6,Full stack developer,101592.0
Rachel Moore,1995-12-17,199.7,88.0,Blockchain developer,118380.0
Maria Calhoun,1976-04-13,167.4,63.6,Data scientist,156176.0
Dr. Crystal Richardson,1992-09-03,195.6,91.5,,125639.0
Richard Rodriguez,1973-03-22,190.1,82.5,AI architect,143529.0
Rodney Martin,2010-06-17,178.7,70.5,Full stack developer,94847.0
Jennifer Martinez,1975-04-23,164.0,60.2,Data scientist,123749.0
Julian Brown,2014-10-26,178.2,83.1,Software developer,96639.0
Stacy Arellano,2009-07-28,157.9,63.5,Full stack developer,107879.0
Alexis Rodriguez,2012-08-25,171.1,66.1,Project manager,101863.0
Jack Elliott,2007-08-03,192.7,91.8,Project manager,82923.0
David Beltran,2010-08-26,161.9,62.0,Full stack developer,98935.0
Andrew Lynch,1985-12-20,203.3,86.7,Blockchain developer,95283.0
Javier Smith,1976-10-03,175.0,58.5,Data scientist,118683.0
Jon Jones,1989-08-25,154.0,60.5,Software developer,91873.0
Jordan Evans,1981-04-08,153.8,55.9,AI architect,119915.0
Adrian Miller,1999-08-02,166.5,75.7,Data scientist,124222.0
Deborah Gibson,1986-05-15,214.7,90.1,AI architect,99635.0
Bethany Neal,1983-10-12,183.9,96.0,Blockchain developer,91310.0
Miguel Williams,2011-09-06,177.2,63.6,Software developer,68347.0
Julie Beasley,2012-07-23,187.3,93.4,Data scientist,142566.0
William Williams,2010-11-09,159.8,58.8,Software developer,101793.0
Cheryl Russell,2000-04-05,164.3,69.6,Software developer,94720.0
Preston Matthews,1974-02-03,161.6,63.1,Blockchain developer,38169.0
Donna Perez,2014-05-01,182.0,64.4,,103863.0
Latoya Christian DDS,2020-01-18,195.3,84.3,Project manager,135976.0
Cheryl Holder,1994-11-06,182.3,74.2,Full stack developer,119209.0
Sandra Johnson,1990-04-09,178.1,77.6,Full stack developer,107133.0
Julie Miles,2009-03-23,167.8,59.5,Data scientist,161985.0
Brittney Moon,2016-07-03,187.7,66.7,Full stack developer,121689.0
,1970-03-29,160.9,57.5,Blockchain developer,143771.0
Grace Bolton,2014-01-28,182.9,80.5,AI architect,133742.0
Samantha Norris,2021-02-06,186.9,93.6,Data scientist,142449.0
Tracey Decker,1988-03-04,176.9,58.8,Data scientist,131980.0
,1980-07-13,162.8,76.4,Software developer,97068.0
,1971-12-06,183.8,76.3,Blockchain developer,142126.0
Derek Mills,2022-08-19,184.4,83.7,Software developer,95615.0
Carolyn Smith,2008-11-12,175.9,33.4,Software developer,99425.0
Steven Anderson,2018-12-27,176.8,73.1,Software developer,102701.0
Destiny Evans,2012-02-09,159.2,67.7,Full stack developer,109958.0
Bradley Dominguez,1983-08-12,202.7,90.9,Full stack developer,113806.0
John Reid,1985-10-04,193.1,92.7,Blockchain developer,100980.0
Robert Fisher,1985-02-19,176.2,61.2,Full stack developer,111250.0
,2005-07-13,183.0,75.4,Blockchain developer,95348.0
Michael Riggs,2021-11-25,164.5,43.8,AI architect,93138.0
Kiara Baker,2008-11-21,176.9,77.9,Data scientist,93628.0
Patrick Burns,1984-08-29,188.4,104.1,Software developer,101595.0
Mary Daniels,1987-03-08,160.1,66.8,Data scientist,113429.0
Claudia Lewis,2016-08-21,172.8,75.9,Data scientist,151569.0
Rachel Torres DDS,2006-07-24,171.7,67.4,Project manager,100119.0
Kelly Mccormick,2004-11-30,170.8,67.4,Software developer,72853.0
Robert Wise,2005-12-21,161.8,73.2,Full stack developer,95461.0
Shelley Walsh,1989-11-24,170.4,59.6,Data scientist,100912.0
Jack Carney,1991-03-24,180.7,61.6,Software developer,96643.0
Andrea Rodriguez,1977-12-20,165.2,55.3,Software developer,105195.0
Ashley Mullins,,174.3,77.9,Data scientist,122299.0
Eric Morales,1995-05-06,180.3,66.0,AI architect,146492.0
Connor Hernandez,1992-11-03,187.7,76.0,Blockchain developer,91196.0
Vanessa Smith,2005-12-18,174.1,63.7,Project manager,120199.0
Scott Henry,2001-07-03,174.2,61.3,AI architect,115815.0
Evan Cunningham,1976-04-11,170.4,67.9,Software developer,96028.0
Maureen Norris,2016-03-14,182.0,79.7,AI architect,138029.0
William Campbell,2009-08-14,172.5,75.1,Software developer,79604.0
Jacob Rodriguez,1979-06-16,173.5,60.3,Software developer,87579.0
Elizabeth Davenport,2005-06-05,152.7,54.4,Software developer,87928.0
Amanda Lee,1983-10-24,182.0,85.5,Full stack developer,123475.0
Lisa Palmer,1997-11-11,183.3,98.5,Software developer,82032.0
Susan Pena,1977-01-29,191.5,91.6,Data scientist,106883.0
Alvin Cisneros,2012-05-09,,54.3,Data scientist,125127.0
Daniel Leonard,1977-10-01,198.1,103.6,Full stack developer,103006.0
Michael Pham,2022-12-21,188.0,82.3,Project manager,91336.0
James Williams,1993-10-22,177.1,68.5,Blockchain developer,96590.0
,2013-09-17,171.9,76.0,Software developer,84054.0
Kimberly Gonzalez,2019-01-10,187.5,59.9,Data scientist,174006.0
Daniel Liu,1982-04-21,169.8,60.5,Data scientist,131632.0
Laura Conrad,1987-05-16,182.7,85.2,AI architect,158778.0
William Walls,1971-06-12,168.6,62.7,Full stack developer,103064.0
Kristin Berry,2008-03-04,176.6,71.1,Software developer,92394.0
Matthew Vargas,1979-08-14,182.6,61.3,Data scientist,123701.0
Jennifer Smith,2001-01-05,214.9,100.3,Project manager,91421.0
Joseph Melton,2003-03-25,168.7,68.1,Blockchain developer,98332.0
Randall Mckee,1986-08-31,182.0,98.3,Full stack developer,112514.0
Katie Morales,2008-06-16,165.4,61.9,Project manager,121932.0
,1994-10-12,161.2,54.9,Data scientist,153984.0
Troy Koch,1972-08-06,175.4,71.0,Full stack developer,103866.0
Jessica Lucas,1980-03-19,,73.5,Full stack developer,91691.0
Michael Guerra,1997-11-07,189.2,69.5,Project manager,115330.0
Caroline Simmons,2001-01-28,175.7,80.0,AI architect,109562.0
Seth Ramirez,1997-11-25,177.8,67.3,Full stack developer,90733.0
Kristin Cobb,2009-05-08,183.8,59.3,Software developer,72666.0
Charles Fisher,1976-02-13,174.2,74.1,AI architect,118137.0
Thomas White,2006-10-11,194.2,75.2,Data scientist,170002.0
Brian Martinez,1990-08-04,185.9,94.6,Full stack developer,106677.0
Douglas Simpson,2014-01-25,167.8,77.7,Software developer,92335.0
Gary Estes,2011-11-27,167.4,,Software developer,93470.0
Eric English,1997-05-24,158.6,59.0,Data scientist,155490.0
Tamara Smith,2020-11-17,186.4,77.0,Data scientist,115569.0
Hailey Garcia,1987-05-14,201.7,84.5,Data scientist,93329.0
Garrett Jones,2008-04-27,179.1,79.5,Blockchain developer,161362.0
Seth Patterson,1982-04-24,151.4,46.2,AI architect,140318.0
Zachary Juarez,2007-10-07,191.6,85.2,AI architect,121403.0
Phillip Rodriguez,1992-02-07,181.2,72.4,Data scientist,136383.0
Karen Williams,2019-06-01,184.6,66.3,AI architect,134737.0
Emma Gonzalez,1994-09-10,194.6,87.6,Data scientist,126245.0
Gregory Richards,1995-10-13,167.0,56.5,Software developer,83143.0
Paul Roberts,1979-05-16,187.8,92.1,AI architect,120317.0
Samuel Daniels,1990-04-22,176.3,90.3,Full stack developer,100137.0
Kenneth Bautista,1980-08-08,193.5,66.0,Software developer,88789.0
Timothy Jackson,2010-08-04,174.6,63.3,Full stack developer,86761.0
Jay Jordan,2019-08-29,186.2,98.5,Software developer,99456.0
Christina George,1997-05-03,171.9,73.3,Data scientist,119741.0
Jared Bell,2022-10-07,182.2,62.9,Software developer,94302.0
Jill Alvarez,1983-10-20,165.0,67.4,Full stack developer,
Michael Browning,1994-02-09,187.3,83.1,Data scientist,120373.0
David Hahn,1986-09-24,179.8,84.4,Software developer,79957.0
Amanda Wright,1984-07-11,192.6,67.4,Project manager,72181.0
Jennifer Carter,2022-11-09,168.8,80.7,Software developer,93633.0
Michelle Gallagher,2008-10-12,137.8,48.9,Software developer,106325.0
Thomas Rodriguez,1976-03-06,177.4,70.2,Software developer,86480.0
Gregory Martinez,1998-12-30,183.7,82.5,Full stack developer,110055.0
Mary Barber,1979-11-24,163.6,71.1,Data scientist,157178.0
Christian Bell,1993-03-02,187.2,71.4,Project manager,97606.0
Robert Allen,2009-12-13,148.7,46.7,,124194.0
Christopher Hughes,2008-02-05,162.3,56.4,Full stack developer,120056.0
Jeff Figueroa,2020-10-10,175.3,82.6,Data scientist,125346.0
Nicole Flores,2013-05-24,169.9,69.9,Full stack developer,114353.0
Colleen Case,1985-03-31,193.0,83.6,Software developer,81015.0
Maria Johnson,2020-10-15,159.9,60.8,AI architect,129724.0
Cindy White,1995-02-13,193.9,79.2,,79694.0
Ernest Sharp,2013-11-09,139.3,50.7,Software developer,96402.0
Richard Lane,2021-08-13,172.8,60.2,Software developer,101610.0
Pedro Preston,1974-11-12,156.3,64.2,Blockchain developer,139973.0
Kevin Shah,1988-09-13,182.5,64.9,Software developer,92280.0
Traci Morris,,181.5,69.6,Blockchain developer,122288.0
Ronald Jensen,2001-11-14,185.9,68.3,AI architect,122495.0
Annette Taylor,1988-08-03,175.4,61.8,Data scientist,128249.0
Daniel Taylor,2002-02-03,188.3,77.8,Software developer,93153.0
William White,2017-05-16,169.4,72.3,Software developer,98624.0
Kirsten Williams,1992-01-26,161.5,61.0,Software developer,105572.0
Matthew Pineda,2016-10-02,171.2,63.4,Full stack developer,142663.0
Lee Mueller,2008-07-23,172.8,78.5,Blockchain developer,96167.0
Nathan Reyes,1986-10-01,177.1,85.2,Data scientist,112881.0
Glenn Turner,1996-03-15,172.1,68.9,Blockchain developer,123946.0
Amanda Gutierrez,2023-08-21,187.2,72.0,,85630.0
Jamie Warner,1979-09-07,162.0,44.7,Data scientist,143660.0
Cody Baker,2020-06-27,172.6,68.7,Data scientist,106177.0
James King,2004-01-26,197.0,90.8,Full stack developer,103681.0
Yesenia Wagner,1980-04-25,167.6,53.9,Software developer,76140.0
Ashley Aguilar,1980-09-21,198.4,74.7,Software developer,89797.0
Kevin Young,1996-01-01,178.3,74.8,Blockchain developer,125036.0
Sara Morrow,1982-03-07,174.2,77.1,Software developer,72328.0
Jennifer Knox,1971-01-29,151.3,51.2,AI architect,95464.0
Michele Smith,1990-10-16,181.6,67.5,Data scientist,139559.0
Lisa Shaw,1989-01-19,192.2,93.1,Blockchain developer,131746.0
Malik Sanchez,2017-03-02,150.4,55.4,Blockchain developer,116719.0
Samantha White,2003-12-23,150.6,78.3,Data scientist,154738.0
Bonnie Love,1986-09-12,211.4,89.5,Software developer,95585.0
Daniel Potter,2021-03-26,162.8,50.9,Data scientist,144636.0
Leslie Marshall,1989-09-13,191.5,77.8,Data scientist,122245.0
Kayla Smith,1976-05-15,152.1,51.0,Blockchain developer,142370.0
Stanley Johnson,2003-11-28,172.5,80.7,Full stack developer,105697.0
Jared Herring,1989-06-18,200.5,103.2,Full stack developer,116233.0
Bobby Campbell,2023-03-28,174.1,74.2,Blockchain developer,93808.0
